Model,DPO2014,CH4
Firmware Version,1.39,
,,
Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1.00E-05,
Sample Interval,1.00E-09,
Filter Frequency,1.00E+08,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1000,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,500,2
Label,,
TIME,CH3,CH4
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1020,-0.0399999
-3.88E-05,1000,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1000,7
-3.88E-05,1020,-0.0399999
-3.88E-05,1000,-0.0399999
-3.88E-05,1000,-0.0399999
-3.88E-05,1000,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1040,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1040,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1040,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1000,0.0400001
-3.88E-05,1040,-0.0399999
-3.88E-05,1020,0.0400001
-3.88E-05,1040,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.88E-05,1020,-0.0399999
-3.88E-05,1020,0.0400001
-3.88E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1000,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1000,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,-0.0399999
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1000,0.0400001
-3.87E-05,1020,0.12
-3.87E-05,1000,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.12
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,-0.0399999
-3.87E-05,1020,-0.0399999
-3.87E-05,1000,-0.0399999
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1040,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1000,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,-0.0399999
-3.87E-05,1000,0.0400001
-3.87E-05,1000,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,-0.0399999
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.12
-3.87E-05,1020,0.0400001
-3.87E-05,1020,0.0400001
-3.87E-05,1020,-0.0399999
-3.86E-05,1020,-0.0399999
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,-0.0399999
-3.86E-05,1020,-0.0399999
-3.86E-05,1020,-0.0399999
-3.86E-05,1020,0.0400001
-3.86E-05,1020,-0.0399999
-3.86E-05,1040,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,-0.0399999
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.12
-3.86E-05,1020,0.0400001
-3.86E-05,1040,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1040,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1040,-0.0399999
-3.86E-05,1020,-0.0399999
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1000,-0.0399999
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.12
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1000,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
-3.86E-05,1020,0.0400001
